org_id	org_name
826	Fatah Revolutionary Council
827	SLA
1194	Alawite (Lebanon)
1195	Sunni (Lebanon)
1170	Jabhat Fateh al-Sham
4183	Brigades of Aisha
4233	ADP
6815	HTS
6866	HTS, Saraya Ahl al-Sham
104	Government of Lesotho
550	Military faction (Lesotho)
508	INPFL
509	LURD
510	MODEL
80	Government of Sierra Leone
695	ULIMO - J
697	ULIMO
3818	NPFL, ULIMO - K
3819	AFL, LPC, ULIMO - J
111	Government of Libya
3876	Gontrar, Zintan
1188	Mashashia
1127	Forces of Muammar Gaddafi
1126	NTC
4371	Awlad Suleiman
4370	Qadhadhfa
5802	Forces of the House of Representatives
4369	Benghazi Revolutionaries Shura Council
5940	Zintan Military Council
5861	Libya Dawn
6371	DPF
6400	Ajdabiya Revolutionaries Shura Council
937	Tuareg
6403	Zuwaya
6698	SDB
1162	SRF
6701	Subol Al-Salam Brigade
6814	Forces of Khalifa al-Ghawil
6893	PFLL
6955	Anas al-Dabbashi Brigade, Brigade 48
6842	Operations Room Combating Daesh, Shuhada al-Wadi militia
7046	ASL
7072	LNA
7049	February 17 Martyrs Brigade, Rafallah al-Sahati Brigade
7108	Forces of Ibrahim Jadhran
7124	Awlad Busayf, Awlad Suleiman
7139	Brigade 301, Ghaniwa Brigade, Nawasi Battalion, TRB
6902	Kaniyat
7215	Jabhat al-Samud, Kaniyat
7164	TPF
7231	Shabab al-Tawhid wa al-Aqiyda
7456	Ahali
47	Government of North Macedonia
361	UCK
106	Government of Madagascar
1003	Supporters of Andry Rajoelina
1041	Supporters of Marc Ravalomanana
1017	Supporters of Didier Ratsiraka
154	Government of Philippines
277	ASG
152	Government of Malaysia
4006	Sultanate of Sulu
72	Government of Mali
521	MPA
522	FIAA
523	ATNMC
74	Government of Mauritania
75	Government of Niger
715	MPGK
3820	ARLA, FIAA, FPLA
1013	Kounta
1219	Dogon
3872	AQIM, Jama'atu Ahlis Sunna Lidda'awati wal-Jihad, MUJAO
1158	CMA
3873	MUJAO, Signed-in-Blood Battalion
934	FPLA
1157	Ansar Dine
3157	Ganda Iso
1164	Military faction (Red Berets)
4376	al-Murabitun
4380	MAA
6267	FLM
5880	GATIA
6349	CM-FPR, GATIA, MAA
6769	Dozos (Mali)
6837	GATIA, MSA
6836	MSA
7092	Dan na Ambassagou
1018	Mauritanian
1019	Senegalese
10	Government of Mexico
767	EZLN
768	EPR
779	Paz y Justicia
793	Juarez Cartel
799	Tijuana Cartel
800	Tijuana Cartel - El Teo faction
828	Garcia clan
829	Peña Rojas clan
877	Santiago Xochiltepec
876	Santo Domingo Teojomulco
1089	Beltrán Leyva Cartel
1090	Beltrán Leyva Cartel - Valdez Villareal faction
1149	La Familia
1150	Los Caballeros Templarios
1151	Jalisco Cartel New Generation
1152	Cartel Independiente de Acapulco
1153	La Barredora
1154	La Resistencia
3296	Los Zetas - Cártel del Noreste faction
3297	Los Zetas - Old School Zetas faction
3298	Guerreros Unidos
3299	Los Rojos
3323	Los Zetas - Velazquez Caballero faction
4475	Autodefensas Unidas de Michoacán
4486	Gulf Cartel - Ramirez Treviño faction
4487	Gulf Cartel - Villareal faction
4492	La Mochomera
6003	Gulf Cartel - Dragones de Sheyla faction
6002	Gulf Cartel - Los Fresitas faction
6008	Sinaloa Cartel - Los Chavez Matamoros faction
6007	Sinaloa Cartel - Los Salgueiro faction
6009	Los Ardillos
6481	Sinaloa Cartel - Los Memos faction
6482	Sinaloa Cartel - Los Salazar faction
6485	Forces of Damaso
6487	Sinaloa Cartel - El Pepillo faction
6486	Sinaloa Cartel - Los 28 faction
6573	Los Zetas - Jorge Ivan Hernandez Cantu faction
6574	Los Zetas - Juan Pedro Salvador Saldivar Farias faction
6704	La Nueva Familia
7187	Nueva Plaza Cartel
7238	Fuerza Anti Unión
4465	La Union de Tepito
7256	Santa Rosa de Lima Cartel
6122	Los Aztecas
7381	La Linea
7647	CRAC-PF
7795	Sinaloa Cartel - Chapitos faction
7796	Sinaloa Cartel - Los Mayos faction
7984	Caborca Cartel, Sinaloa Cartel - Los Mayos faction
8003	Los Virus
8006	Los Tlacos
8095	Carteles Unidos
8234	Gulf Cartel, La Familia, Sinaloa Cartel
7395	Cartel del Sur
7399	Grupo Escorpion
6483	Gulf Cartel - Los Ciclones faction
8339	Los Colombianos
8338	Los Maya
55	Government of Moldova
344	PMR
108	Government of Morocco
563	POLISARIO
393	Salafia Jihadia
100	Government of Mozambique
498	Renamo
938	Naparama
7032	Ansar al-Sunnah
180	KNU
181	God's Army
1107	DKBA 5
185	ABSDF
190	NMSP
191	BMA
201	KIO
225	KNPP
255	MTA
256	RCSS
364	UWSA
785	DKBA
830	MDA
831	MDA - LM
2698	Buddhists (Myanmar)
2699	Muslims (Myanmar)
1122	SSPP
5965	PSLF
8060	NUG
146	Government of Nepal
258	CPN-M
784	MJF
14	Government of Nicaragua
759	Contras
525	CRA
543	FDR
524	FLAA
526	UFRA
562	MNJ
6503	Daoussak (Tuareg)
